product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
たまごスープ,150,https://www.hottomotto.com/files/menu_img/sp_1193.jpg?id=5845,31kcal,2.1g,1.5g,2.2g,0.0g,0.0g,1.7g,https://www.hottomotto.com/menu_list/view/13/1193
とりめし弁当,580,https://www.hottomotto.com/files/menu_img/sp_1038.jpg?id=5845,702kcal,27.0g,21.4g,103.3g,96.8g,6.5g,3.4g,https://www.hottomotto.com/menu_list/view/13/1038
牛すきうな重(2切れ),940,https://www.hottomotto.com/files/menu_img/sp_1103.jpg?id=5845,693kcal,23.6g,23.8g,98.4g,94.0g,4.4g,4.0g,https://www.hottomotto.com/menu_list/view/13/1103
九州チキン南蛮弁当,670,https://www.hottomotto.com/files/menu_img/sp_1263.jpg?id=5845,835kcal,24.1g,24.5g,129.5g,122.6g,6.9g,2.8g,https://www.hottomotto.com/menu_list/view/13/1263
エビフライ,110,https://www.hottomotto.com/files/menu_img/sp_1198.jpg?id=5845,77kcal,2.1g,4.8g,6.4g,6.1g,0.3g,0.6g,https://www.hottomotto.com/menu_list/view/13/1198
きのこごはん単品,300,https://www.hottomotto.com/files/menu_img/sp_1249.jpg?id=5845,337kcal,7.8g,4.2g,68.2g,65.9g,2.3g,2.2g,https://www.hottomotto.com/menu_list/view/13/1249
ロースカツカレー,810,https://www.hottomotto.com/files/menu_img/sp_1133.jpg?id=5845,842kcal,28.8g,28.5g,121.5g,113.5g,8.0g,3.6g,https://www.hottomotto.com/menu_list/view/13/1133
チキン南蛮　おかずのみ,570,https://www.hottomotto.com/files/menu_img/sp_1164.jpg?id=5845,549kcal,21.4g,33.9g,38.9g,36.6g,2.3g,3.4g,https://www.hottomotto.com/menu_list/view/13/1164
6コ入り から揚　おかずのみ,620,https://www.hottomotto.com/files/menu_img/sp_1045.jpg?id=5845,514kcal,36.7g,27.8g,26.9g,24.5g,2.4g,3.8g,https://www.hottomotto.com/menu_list/view/13/1045
WチキンBOX （から揚＆手羽から揚）,820,https://www.hottomotto.com/files/menu_img/sp_1009.jpg?id=5845,618kcal,45.3g,39.5g,20.2g,19.1g,1.1g,4.9g,https://www.hottomotto.com/menu_list/view/13/1009
